tick,hour,alive_total,alive_herbivores,alive_carnivores,alive_insectivores,avg_thirst,avg_hunger,weather,hole_drinkers,hole_capacity,hole_utilization_pct
33,9,20,16,4,4,83.2,6.6,DROUGHT,6,8,75.0
34,10,20,16,4,4,80.0,6.9,DROUGHT,8,8,100.0
35,11,6,2,4,1,25.7,24.0,DROUGHT,4,8,50.0
36,12,6,2,4,1,13.0,25.0,DROUGHT,4,8,50.0
37,13,6,2,4,1,6.0,26.0,DROUGHT,2,8,25.0
38,14,6,2,4,1,6.0,27.0,DROUGHT,0,8,0.0
39,15,6,2,4,1,10.0,27.0,DROUGHT,0,8,0.0
40,16,6,2,4,1,14.0,27.8,DROUGHT,0,8,0.0
41,17,6,2,4,1,17.0,30.3,STORM,0,8,0.0
42,18,6,2,4,1,20.0,31.2,STORM,0,8,0.0
43,19,6,2,4,1,23.0,33.7,STORM,0,8,0.0
44,20,6,2,4,1,26.0,36.2,STORM,0,8,0.0
45,21,6,2,4,1,29.0,38.7,STORM,0,8,0.0
46,22,6,2,4,1,32.0,41.2,STORM,0,8,0.0
47,23,6,2,4,1,35.0,43.7,STORM,0,8,0.0
48,0,6,2,4,1,38.0,46.2,STORM,0,8,0.0
49,1,5,1,4,1,42.2,40.2,STORM,0,8,0.0
50,2,5,1,4,1,45.2,42.6,STORM,0,8,0.0
51,3,5,1,4,1,48.2,45.0,STORM,0,8,0.0
52,4,5,1,4,1,51.2,47.4,STORM,0,8,0.0
53,5,5,1,4,1,54.2,49.8,STORM,0,8,0.0
54,6,5,1,4,1,57.2,52.8,STORM,0,8,0.0
55,7,5,1,4,1,60.2,55.8,STORM,0,8,0.0
56,8,5,1,4,1,63.2,58.8,STORM,0,8,0.0
57,9,5,1,4,1,66.2,61.8,STORM,1,8,12.5
58,10,5,1,4,1,64.2,64.8,STORM,1,8,12.5
59,11,5,1,4,1,62.2,67.8,STORM,2,8,25.0
60,12,2,1,1,1,70.0,27.0,STORM,0,8,0.0
61,13,2,1,1,1,71.0,28.0,RAIN,0,8,0.0
62,14,2,1,1,1,72.0,29.0,RAIN,0,8,0.0
63,15,2,1,1,1,73.0,30.0,RAIN,0,8,0.0
64,16,2,1,1,1,74.0,31.0,RAIN,0,8,0.0
65,17,2,1,1,1,75.0,32.0,RAIN,0,8,0.0
66,18,2,1,1,1,76.0,19.5,RAIN,0,8,0.0
67,19,2,1,1,1,77.0,20.0,RAIN,0,8,0.0
68,20,2,1,1,1,78.0,20.5,RAIN,1,8,12.5
69,21,2,1,1,1,66.5,21.0,RAIN,1,8,12.5
70,22,2,1,1,1,55.0,21.5,RAIN,1,8,12.5
71,23,2,1,1,1,43.5,22.0,RAIN,1,8,12.5
72,0,2,1,1,1,40.0,22.5,RAIN,0,8,0.0
73,1,2,1,1,1,41.5,23.0,RAIN,0,8,0.0
74,2,2,1,1,1,42.5,23.5,RAIN,0,8,0.0
75,3,2,1,1,1,43.5,24.0,RAIN,0,8,0.0
76,4,2,1,1,1,44.5,24.5,RAIN,0,8,0.0
77,5,2,1,1,1,45.5,25.0,RAIN,0,8,0.0
78,6,2,1,1,1,46.5,26.0,RAIN,0,8,0.0
79,7,2,1,1,1,47.5,26.0,RAIN,0,8,0.0
80,8,2,1,1,1,48.5,26.5,RAIN,1,8,12.5
81,9,2,1,1,1,39.0,29.5,STORM,1,8,12.5
82,10,2,1,1,1,29.5,32.5,STORM,1,8,12.5
83,11,2,1,1,1,20.0,35.5,STORM,1,8,12.5
84,12,2,1,1,1,10.5,38.5,STORM,0,8,0.0
85,13,2,1,1,1,13.5,41.5,STORM,0,8,0.0
86,14,2,1,1,1,16.5,44.5,STORM,0,8,0.0
87,15,2,1,1,1,19.5,47.5,STORM,0,8,0.0
88,16,2,1,1,1,22.5,50.5,STORM,0,8,0.0
89,17,2,1,1,1,25.5,53.5,STORM,0,8,0.0
90,18,2,1,1,1,28.5,41.5,STORM,0,8,0.0
91,19,2,1,1,1,31.5,43.0,STORM,0,8,0.0
92,20,2,1,1,1,34.5,44.5,STORM,0,8,0.0
93,21,2,1,1,1,37.5,46.0,STORM,0,8,0.0
94,22,2,1,1,1,40.5,47.5,STORM,0,8,0.0
95,23,2,1,1,1,43.5,49.0,STORM,0,8,0.0
96,0,1,1,0,1,36.0,0.0,STORM,0,8,0.0
97,1,1,1,0,1,39.0,0.0,STORM,0,8,0.0
98,2,1,1,0,1,42.0,0.0,STORM,0,8,0.0
99,3,1,1,0,1,45.0,0.0,STORM,0,8,0.0
100,4,1,1,0,1,48.0,0.0,STORM,0,8,0.0
